"yourlist:M20201123A94466D2655679D1FD8953E075198DA817123DO","Entry","Function [CC]"
"P45844","P45844","FUNCTION: Catalyzes the efflux of phospholipids such as sphingomyelin, cholesterol and its oxygenated derivatives like 7beta-hydroxycholesterol and this transport is coupled to hydrlysis of ATP (PubMed:17408620, PubMed:24576892). The lipid efflux is ALB-dependent (PubMed:16702602). Is an active component of the macrophage lipid export complex. Could also be involved in intracellular lipid transport processes. The role in cellular lipid homeostasis may not be limited to macrophages. Prevents cell death by transporting cytotoxic 7beta-hydroxycholesterol (PubMed:17408620). {ECO:0000269|PubMed:16702602, ECO:0000269|PubMed:17408620, ECO:0000269|PubMed:24576892}."
"P11310","P11310","FUNCTION: Acyl-CoA dehydrogenase specific for acyl chain lengths of 4 to 16 that catalyzes the initial step of fatty acid beta-oxidation. Utilizes the electron transfer flavoprotein (ETF) as an electron acceptor to transfer electrons to the main mitochondrial respiratory chain via ETF-ubiquinone oxidoreductase (ETF dehydrogenase). {ECO:0000269|PubMed:25416781}."
"P12821","P12821","FUNCTION: Converts angiotensin I to angiotensin II by release of the terminal His-Leu, this results in an increase of the vasoconstrictor activity of angiotensin. Also able to inactivate bradykinin, a potent vasodilator. Has also a glycosidase activity which releases GPI-anchored proteins from the membrane by cleaving the mannose linkage in the GPI moiety."
"Q15848","Q15848","FUNCTION: Important adipokine involved in the control of fat metabolism and insulin sensitivity, with direct anti-diabetic, anti-atherogenic and anti-inflammatory activities. Stimulates AMPK phosphorylation and activation in the liver and the skeletal muscle, enhancing glucose utilization and fatty-acid combustion. Antagonizes TNF-alpha by negatively regulating its expression in various tissues such as liver and macrophages, and also by counteracting its effects. Inhibits endothelial NF-kappa-B signaling through a cAMP-dependent pathway. May play a role in cell growth, angiogenesis and tissue remodeling by binding and sequestering various growth factors with distinct binding affinities, depending on the type of complex, LMW, MMW or HMW. {ECO:0000269|PubMed:11479627}."
"P35869","P35869","FUNCTION: Ligand-activated transcriptional activator. Binds to the XRE promoter region of genes it activates (PubMed:10395741, PubMed:28602820, PubMed:7961644, PubMed:23275542, PubMed:30373764). Activates the expression of multiple phase I and II xenobiotic chemical metabolizing enzyme genes (such as the CYP1A1 gene) (PubMed:7961644). Mediates biochemical and toxic effects of halogenated aromatic hydrocarbons (PubMed:7961644). Involved in cell-cycle regulation (PubMed:12213388). Likely to play an important role in the development and maturation of many tissues (PubMed:12213388). Regulates the circadian clock by inhibiting the basal and circadian expression of the core circadian component PER1 (PubMed:28602820). Inhibits PER1 by repressing the CLOCK-ARNTL/BMAL1 heterodimer mediated transcriptional activation of PER1. The heterodimer ARNT:AHR binds to core DNA sequence 5'-TGCGTG-3' within the dioxin response element (DRE) of target gene promoters and activates their transcription (PubMed:28602820). {ECO:0000269|PubMed:10395741, ECO:0000269|PubMed:23275542, ECO:0000269|PubMed:28602820, ECO:0000269|PubMed:30373764, ECO:0000269|PubMed:7961644, ECO:0000303|PubMed:12213388}."
"P52895","P52895","FUNCTION: Works in concert with the 5-alpha/5-beta-steroid reductases to convert steroid hormones into the 3-alpha/5-alpha and 3-alpha/5-beta-tetrahydrosteroids. Catalyzes the inactivation of the most potent androgen 5-alpha-dihydrotestosterone (5-alpha-DHT) to 5-alpha-androstane-3-alpha,17-beta-diol (3-alpha-diol). Has a high bile-binding ability. {ECO:0000269|PubMed:15929998, ECO:0000269|PubMed:17034817, ECO:0000269|PubMed:17442338, ECO:0000269|PubMed:8573067}."
"P07355","P07355","FUNCTION: Calcium-regulated membrane-binding protein whose affinity for calcium is greatly enhanced by anionic phospholipids. It binds two calcium ions with high affinity. May be involved in heat-stress response. Inhibits PCSK9-enhanced LDLR degradation, probably reduces PCSK9 protein levels via a translational mechanism but also competes with LDLR for binding with PCSK9 (PubMed:18799458, PubMed:24808179, PubMed:22848640). {ECO:0000269|PubMed:18799458, ECO:0000269|PubMed:22848640, ECO:0000269|PubMed:24808179}."
"P08758","P08758","FUNCTION: This protein is an anticoagulant protein that acts as an indirect inhibitor of the thromboplastin-specific complex, which is involved in the blood coagulation cascade."
"Q92870","Q92870","FUNCTION: May modulate the internalization of amyloid-beta precursor protein."
"P05067","P05067","FUNCTION: Functions as a cell surface receptor and performs physiological functions on the surface of neurons relevant to neurite growth, neuronal adhesion and axonogenesis. Interaction between APP molecules on neighboring cells promotes synaptogenesis (PubMed:25122912). Involved in cell mobility and transcription regulation through protein-protein interactions. Can promote transcription activation through binding to APBB1-KAT5 and inhibits Notch signaling through interaction with Numb. Couples to apoptosis-inducing pathways such as those mediated by G(O) and JIP. Inhibits G(o) alpha ATPase activity (By similarity). Acts as a kinesin I membrane receptor, mediating the axonal transport of beta-secretase and presenilin 1 (By similarity). By acting as a kinesin I membrane receptor, plays a role in axonal anterograde transport of cargo towards synapes in axons (PubMed:17062754, PubMed:23011729). Involved in copper homeostasis/oxidative stress through copper ion reduction. In vitro, copper-metallated APP induces neuronal death directly or is potentiated through Cu(2+)-mediated low-density lipoprotein oxidation. Can regulate neurite outgrowth through binding to components of the extracellular matrix such as heparin and collagen I and IV. The splice isoforms that contain the BPTI domain possess protease inhibitor activity. Induces a AGER-dependent pathway that involves activation of p38 MAPK, resulting in internalization of amyloid-beta peptide and leading to mitochondrial dysfunction in cultured cortical neurons. Provides Cu(2+) ions for GPC1 which are required for release of nitric oxide (NO) and subsequent degradation of the heparan sulfate chains on GPC1. {ECO:0000250, ECO:0000250|UniProtKB:P12023, ECO:0000269|PubMed:17062754, ECO:0000269|PubMed:23011729, ECO:0000269|PubMed:25122912}.; FUNCTION: Amyloid-beta peptides are lipophilic metal chelators with metal-reducing activity. Bind transient metals such as copper, zinc and iron. In vitro, can reduce Cu(2+) and Fe(3+) to Cu(+) and Fe(2+), respectively. Amyloid-beta protein 42 is a more effective reductant than amyloid-beta protein 40. Amyloid-beta peptides bind to lipoproteins and apolipoproteins E and J in the CSF and to HDL particles in plasma, inhibiting metal-catalyzed oxidation of lipoproteins. APP42-beta may activate mononuclear phagocytes in the brain and elicit inflammatory responses. Promotes both tau aggregation and TPK II-mediated phosphorylation. Interaction with overexpressed HADH2 leads to oxidative stress and neurotoxicity. Also binds GPC1 in lipid rafts.; FUNCTION: Appicans elicit adhesion of neural cells to the extracellular matrix and may regulate neurite outgrowth in the brain. {ECO:0000250}.; FUNCTION: The gamma-CTF peptides as well as the caspase-cleaved peptides, including C31, are potent enhancers of neuronal apoptosis.; FUNCTION: N-APP binds TNFRSF21 triggering caspase activation and degeneration of both neuronal cell bodies (via caspase-3) and axons (via caspase-6)."
