gene_id	seed_gene_involved	interactions_seeds_ids
9619	T	20133,20848,98956,4734,238799,79250,16480,100772415,70349,72415,14936,21762,71805,2182,228889,110960,100767755,107476,18772,100774247,54160,100758545,363,227715,114584,100755406,100752558,59026,11765,100732540,8905,12534,24211,100689309,25751,57815,207304,100760956,100770326,23983,100760824,58823,71732,306871,100763346,301363,64158,29167,12343,74237,100754722,78903,1994,3191,68267,10015,14852,24159,100760896,110651,13205,100754276
34	T	63933,2582,26275,9512,5862,9212,7919,8209,64949,5519,64745,10112,2122,2109,55832,5031,5701,6742,11171,4191,54443,7417,801,56616,3419,83639,3945,5163,2108,83943,6184,476,10102,26164,3301,4914,381,9493,5518,11231,1650,9524,375,3065,7532,9928,26995,1509,51250,10868,1431,28976,7182,9945,2271,64756,29978,75786,79922,11113,2673,23197,10693,10449,7184,5250,7385,55006,223,821,84553,1892,3329,29117,7416,25953,378,56257,3939,3163,10079,10157,8801,54516,9054,509,5589,3308,3315,8803,91574,373509,10598,586,10128,8452,5226,43740571,523,8907,27185
1636	T	22981,624,4627,4000,1457,2130,83639,60,183,10551,51361
9370	T	390212,94056,23306,23786,54842,339302,8645,51006,374395,9370,59353,10462,90993,54557,2866,5817,4582,7113,665,128674,200232,6567,433,363,63027,65062,819,2194,79415,3792,147872,8740,79922,153579,5193,7809,9080,29121,203260,10961,84641,5155,57463,89858,1269,973,163183,56947,51661,6449,2209,51170,23087,408263,932,638,57017,131450,3460,55800,55508
196	T	7706,10607,6839,10728,5711,3169,8140,112399,1545,5704,388951,4780,5925,3320,10672,1642,6908,6667,2194,7514,8450,1489670,8204,10499,6878,6874,80726,5709,8648,406,4094,10625,5970,135112,405,43740578,5710,5701,4089,7025,5702,63891,9928,9612,51552,367,9866,4738,2274,7431,9978,2963,9049,51548,196,9915,7818,6880,10273,5469,3312,2033,2099,904,1499,672,10987,6597,25962,1869,2962
1646	T	4282,10526,7086,6647,162239,1646,28970,2618,678,1109,8724,5110,43740571,10542,1859,10551,1645,8644
302	T	7706,2335,57542,2582,5591,9055,10016,56339,9555,4869,9636,9212,2932,4653,6667,1540,7415,399687,54873,167153,6187,286940,113146,8436,90850,3146,10112,1107,93380,1108,7337,14252,440563,3028,55011,6207,7412,94190,83987,7112,54443,6135,4609,8880,9657,140462,401474,-,4292,5538,350,2130,4751,11214,3872,6654,10399,54790,2177,5037,25980,330,9820,57584,7013,55201,6646,9531,4171,6117,1956,8826,1743,856924,4914,6199,5160,54206,57664,23047,23065,5321,64127,11060,5518,4267,999,9493,1017,1627,9126,9928,27185,25913,495,9343,6464,312,3014,17886,8614,56302,155030,6927,5728,2316,6606,57659,57721,409,79577,54850,2033,124245,6778,920,92140,7879,10551,138009,5879,9589,1025,3071,79872,4255,1129,202299,6118,29978,7319,5590,10274,636,23363,11113,9324,2885,851676,6774,1022,221302,1783,51552,634,23299,2202,11736,16706,3676,11346,5327,408,51741,10971,51199,81704,83932,1508,10044,79026,311,7015,2103,51361,92421,6281,10594,5495,10614,5781,51143,2065,9784,207,230249,5891,25836,5500,1894,4967,351,100128588,51474,5245,79739,90416,3159,8202,4281,8453,4627,22826,6248,1520,6993,54843,73708,79782,4174,70405,6657,9401,27101,51548,80179,7157,58,5071,5747,7001,3956,11338,5111,25962,2099,8359,286827,1489047,23383,128866,5094,23244,6119,3178
308	T	143888,7706,9973,3035,10319,4799,10016,2821,6389,9512,9636,2596,11052,26277,5836,7415,1386,5519,93380,7334,3791,9669,2950,27044,23203,4609,8833,115004,7014,140462,2928,672,3845,107242,56954,25980,330,6457,5358,501,9820,10413,7013,54187,7167,5537,9531,18,8826,100009586,10397,7514,4914,1080,301,23065,2222,7756,1017,5106,3660,112812,3014,1431,201294,57721,5464,10551,5879,49860,10946,6182,131578,7024,2923,1280,8895,202299,57521,2521,9694,23348,43740578,10985,5587,10291,2202,10075,3157,81704,3418,8802,43740569,1632,80221,128240,71521,51205,55347,3251,1300,8801,6629,203068,351,5036,10131,10426,9446,3693,8803,22826,25852,9374,2268,9698,54386,55160,11338,60,286827,9352,3178
323	T	6272,334,81890,55255,7409,54491,4790,10492,1956,8139,7846,9882,23780,5910,3083,43740574,43740573,323,351,8717,43740578,8165,92483,3916,5599,57120,322,43740569,333,9885,23102,55871,7157,56776,43740571,-,3191,51741,3312,538,4690,25962,84144,116,65008,161291,8838
351	T	81609,7010,65988,2353,3338,127428,124411,8823,91050,2258,10524,51013,6514,13131,343035,79066,57596,4477,84735,10235,1662,3958,7417,8939,2206,138199,2835,79670,2743,23623,5008,83595,23566,23621,57704,83478,7107,6953,9371,9820,51202,2537,10402,27145,83636,10476,5029,151188,25837,25979,80111,10494,9098,2983,5636,5042,6818,4916,9564,151649,23313,92170,3068,752,3553,83931,10551,63935,3814,5993,92935,65979,9479,11091,9444,2027,55679,221786,8908,10769,4515,153769,114294,51289,338382,43740578,146691,11266,55166,84722,92597,83729,65997,9467,7381,23648,9191,90768,2543,5327,81892,51365,93408,10807,3467,705,7802,6616,1820,170261,2838,255119,1082,9997,9567,203286,84612,5686,3550,79568,50863,25780,6017,11014,5435,2299,285282,130535,55361,7434,56001,79171,51116,4919,57179,7745,91289,375260,169611,55094,1111,53833,23057,2557,389119,91010,123263,8204,90411,55471,64927,10578,66005,85480,64754,55655,10658,57182,8999,5033,165100,9978,55781,347273,80256,83983,9702,3838,11130,60343,10992,5711,8883,56905,51762,147685,27079,55379,22950,51566,8536,6780,93099,6156,51218,27245,114885,51759,79039,22,10452,8337,1018,196441,55026,5116,5524,2,54814,84266,10987,11004,8886,379,7329,172,203228,85403,405754,79629,5650,6653,10263,51699,2961,3442,851676,10134,7571,5000,8409,6622,26025,54556,84892,9262,10098,3070,23385,9130,23767,6660,65992,4084,54478,57593,10146,84681,56889,4976,23421,221443,84851,3267,57456,200424,881,1032,3320,80319,10586,55754,23205,4695,10226,7166,117245,79777,4668,79173,90441,3223,56987,1716,23708,8490,5093,8452,84676,2214,219333,23139,23029,1977,51056,5725,6123,2660,4720,339512,261726,8870,64073,4846,51259,83853,1845,10521,8209,768,56676,1312,10767,3045,63943,55332,9053,50809,3507,7528,140597,10673,9519,811,4023,55801,139135,114609,10344,26586,11068,8613,55340,148281,501,5358,4086,55737,10328,10290,4736,4582,126789,30815,64837,2940,51491,8416,1731,8342,2002,23179,5429,6319,3033,4601,57595,121457,2039,541472,167359,11222,23466,55510,3955,55876,7090,4343,353274,5105,6418,10881,84632,2319,57763,4697,84522,23594,1653,3145,79686,10362,494514,55139,10449,9134,442523,9787,51265,159686,7272,26276,9128,7092,821,8976,5170,55178,282991,658,54536,10438,347918,83706,63826,10562,2113,10458,122704,51474,146722,83451,112840,57471,115123,64770,23612,97,79974,55145,5967,51399,84654,9896,57035,8825,55345,51642,404203,79077,25827,54581,10923,286006,10589,140576,7468,5598,5507,10912,9201,43740573,7809,3396,5896,7078,257169,79828,51377,146705,140902,84934,146852,64795,5292,22983,84947,400120,653784,1315,10988,49861,5413,5055,84464,7042,28987,1785,1956,5720,6668,10220,79073,83719,337,51322,4763,161247,122651,6233,25949,26227,255394,56943,23649,25871,7373,29995,23023,23184,1191,10899,10897,26155,84701,135114,51122,9570,2104,131118,140732,2670,7763,51123,3831,28981,10369,29935,23678,50945,202459,1059,60682,51616,1288,79800,79443,5162,4010,55629,55768,11137,5359,10330,23481,4099,7984,51550,91612,6426,9437,84193,84294,9021,3018,84726,6416,6198,1983,90843,27246,51295,51530,3217,440556,10131,3833,57669,84447,10128,51010,116987,3840,128866,148523,7706,51031,2582,124995,26043,55172,95,203,161514,54788,4739,3337,948,23471,378708,51018,201725,240,51181,24137,5236,84708,26994,1238,4609,55421,192670,27238,132299,54014,9547,83448,1666,65265,339416,9939,3692,79711,3898,400569,3801,4719,7589,27037,25873,56899,84932,28951,11157,8631,3674,10801,7532,200765,7570,1891,118427,2119,255762,6223,84777,6891,386675,84254,11154,23119,6598,11083,55803,255027,8233,7535,11228,80125,3313,9040,55815,11129,5533,79571,11345,26135,9943,1859,6171,54707,51427,160492,325,2274,57658,55111,81788,50,7035,131601,150274,213,55213,10295,126248,1508,6168,26330,29080,79886,51388,321,192286,51077,10776,7866,7274,58191,10492,143884,150681,29083,5859,3098,3445,23194,11336,6136,79698,220136,23604,6790,3782,5576,30968,25764,54765,4857,11152,10742,90649,221960,100131997,51121,84832,127795,5664,375307,420,23149,80347,9399,55700,51027,84320,158511,56658,54762,56141,9576,8666,1901,3437,203260,84916,23580,7448,9274,7419,4832,3080,23544,2257,4176,474344,11140,56931,22882,284802,54870,10428,9546,2036,9655,8317,79140,126308,10238,660,3148,83888,8623,8650,57528,60489,84290,58493,51765,6464,3428,246330,56683,79175,148252,7586,3187,64763,84106,2934,5015,10946,53349,9454,445347,23786,79977,79887,284680,5136,9839,55233,2237,6217,50855,79969,54555,9415,8894,7360,7284,10963,64506,54575,3667,5238,2181,9722,23168,91647,23061,29883,27163,7048,83442,65975,7428,29920,91775,161291,161,51374,257629,5501,8609,51545,207,57154,51195,51535,10423,4103,5511,11079,8036,2289,56986,1329,80196,8775,6993,43,23630,90390,26523,9915,25923,100131816,4287,4222,56270,10201,23743,6001,1455,22891,55114,2972,9397,374659,84286,7803,622,1876,6794,2902,81545,10635,29957,7917,5356,2037,5778,6175,221150,3791,5412,8994,84570,54065,23144,160777,55207,54457,8892,64168,440452,90480,7139,83903,3633,10880,23133,5536,51501,54734,55052,57486,3998,4171,20416,84946,7804,6648,1969,84261,5580,83759,10084,8445,57002,203523,84706,155038,23095,9499,2997,6777,1600,4350,91272,638,346606,5354,1465,6941,139105,54960,91442,132851,26225,587,10514,51593,90381,121536,84557,79656,84080,498,51574,4013,22862,991,782,257415,55758,7314,10620,7385,9230,54985,55732,26063,54739,145645,10616,55138,7357,8764,5440,55347,83939,57464,79733,6878,54487,10713,4693,401505,8740,81608,9550,338094,7060,339976,374403,79739,26298,78990,80152,3620,83707,341032,8479,51118,73708,80094,10866,5800,255626,5682,54462,10978,23569,11201,1735,150353,8926,1495,28989,10762,146310,65110,57820,53343,10282,4869,83590,84057,51256,8338,55697,1386,65989,2067,51100,8294,55208,5864,27346,79712,7965,25926,51760,9817,2580,9099,199221,10744,3516,3655,51150,10682,8738,118813,79098,3191,51285,63915,6279,84812,8412,10043,80007,79991,55863,57678,10280,65244,140290,4217,51078,6357,55915,9203,89796,79837,10436,10,25855,10686,6919,220004,837,79159,80128,55048,57606,112812,26040,55346,10368,10814,80777,164668,142940,6620,23774,54884,5872,55333,79447,90407,9221,81567,84969,8495,57018,23435,4286,4804,64393,127,54872,23595,9712,92399,84864,123970,146225,23235,3670,2491,130916,9862,10626,445,3268,137492,9776,27230,54981,1026,84317,51503,3957,6015,55082,29767,152877,8161,54440,4133,116985,1632,123920,64781,7178,26502,64135,1453,9314,83657,1114,5753,10422,9173,5710,94239,3308,1397,8394,3915,6251,5207,93349,1153,90933,896,2960,11047,284366,26017,6903,11143,55852,3600,9709,85300,8266,64098,9701,2244,2932,348487,83461,80896,401068,8659,84154,6176,64419,5606,26136,55388,79155,8569,10095,81035,11021,48,64097,55916,5740,4712,23,11309,9391,10133,9690,114793,4076,80781,53353,92856,29110,10573,79002,8195,57118,56681,84251,160364,3980,852979,54984,403312,5782,5688,5315,4302,7040,1964,55652,11218,63904,128061,339448,29979,93627,4508,5106,53616,440193,165631,5729,27301,9933,151647,2797,5998,8774,22976,9470,2620,4793,5447,6880,219833,55798,11076,114879,10933,302,1641,317772,7259,89882,1119,7050,51300,1404,554223,113251,112487,43740577,285313,22858,54801,8019,51204,404220,11313,1787,138065,158038,10110,29,26286,58529,80210,6227,2110,64799,9991,79847,25939,59343,57107,79958,374,79858,27330,2182,4961475,3158,9911,11326,79017,283748,28970,5527,200558,285172,5564,79058,23111,4336,9252,9060,23542,54961,7325,83861,4356,51247,10541,348825,23682,836,468,11257,65117,64708,65986,26071,93380,63941,79763,2769,54934,79745,33,27430,10325,55256,23085,104,9649,6741,9545,5996,851843,6230,5828,3630,221711,59353,9468,29942,3725,10069,5296,381,219541,7584,127602,26003,10237,7431,9765,81832,6714,1677,79149,6954,4300,155971,25911,6835,1478,1500,382,23647,5979,55699,140545,113201,200523,8208,83941,55319,54962,51693,10681,6208,1022,2551,3817,26146,55742,8796,9825,322,22883,22822,9632,8407,148932,5468,2100,7384,689,10929,1365,26659,3329,283337,5062,83786,6948,10261,54986,22902,79823,9127,140730,92714,22848,9092,8893,5602,6945,22998,27075,10943,286257,4726,397,79158,6752,4212,79692,60385,3622,6164,4085,10067,23769,23062,24142,3178,633,84081,142937,65003,51004,8645,28986,207063,85302,51406,84277,79590,5608,10218,57645,7083,56342,80017,2109,353513,124404,55738,6431,10979,4232,29722,91133,839,-,158399,965,60686,64760,79666,10714,3690,93323,9196,5144,972,55159,440248,132228,4296,23047,51372,833,1998,117157,79364,90070,2242,51250,5600,10572,57404,11269,4707,54897,4440,23016,140699,10966,4259,79640,8293,81565,3029,6827,27292,5316,54495,10636,1395,29889,8689,149563,201163,64221,166336,23363,11317,57103,5174,64591,6505,10293,64428,3984,3376,55841,54033,4893,9653,133619,80018,5908,27072,22821,4723,23213,84196,5149,64577,6224,26258,10574,6203,81627,7052,10081,64981,229,55959,64417,4193,168090,10982,84309,7283,55668,3159,9759,84720,1601,9410,1936,200172,84105,64407,10533,9356,5333,55090,7469,11200,53335,83696,51534,79982,84693,27338,27296,10439,4035,695,65123,9212,2517,79632,57697,493753,320,79912,1454,219983,127396,10062,55215,493856,27044,5717,11325,79661,84868,80764,26508,51533,27042,23118,84129,4154,79180,10072,56941,22926,4851,286343,11104,2904,2597,283349,2078,27201,10209,10123,4724,7549,10245,3937,55862,26503,94101,10352,529,10120,170082,721,121274,2887,83606,91608,8824,11785,81890,6728,90203,10455,11127,205,284440,54108,338692,54995,23617,27129,1783,1671,127733,254268,8078,9856,84224,79672,1019,11098,27343,6904,2243,23759,26097,7627,126282,57505,57696,9623,1457,28971,55168,10010,7416,57862,55144,64968,23530,339977,6850,84293,10367,4632,283229,128,8665,56521,55252,6205,51631,494143,4826,9255,171023,51412,9764,2123,51639,23291,1933,157556,254295,55784,169044,9891,5478,372,8450,55599,9205,5514,5058,80345,323,64771,348,23059,81876,55617,3658,64802,55924,6100,14784,5878,81631,92346,90624,5127,260429,4351,284273,140691,1410,124599,85458,154796,22919,8896,18053,4831,9218,26070,219988,139067,2903,7918,857,158584,23408,55156,2768,51473,51547,79139,5264,10809,55778,64333,135644,10645,84303,1499,89953,7453,85417,7189,3024,5921,10513,10939,662,6882,56853,51105,5047,993,257203,7534,115353,55705,6895,79074,55701,4636,55193,79618,7391,11066,883,54535,274,80301,10278,56924,23640,79132,146956,57117,8933,9113,56269,10480,4957,5529,90326,9572,9140,2004,9364,25824,79695,27231,3055,6456,653145,217,23533,161931,53944,79805,91107,80207,4939,51538,91574,54407,10307,79637,23151,740,2192,444,47,80700,91801,5071,1198,4194,2099,10827,1756,9139,10053,8214,9146,554236,55227,51318,9555,9084,55303,3221,6382,5481,254887,11190,2117,51264,2780,342527,51601,137994,11284,23126,3983,54463,55716,4152,7345,3385,6222,9584,4698,56894,119,9022,3845,2160,26578,4088,51334,51441,79169,161835,10078,80724,4722,150383,1355,4321,8676,84298,440519,56970,79639,4151,2781,133690,10298,3005,8935,7123,57761,93343,3660,339184,7172,2050,51239,1327,4209,5584,90871,9527,54959,222166,10671,65982,5129,92344,55268,5721,84310,208,8725,2923,554207,177,80262,55707,5763,80820,374666,4599,6204,5211,3480,151126,27095,284312,8165,84542,3047,23524,9270,5743,55843,9450,2280,203328,168374,335,10842,2118,4117,170959,79411,7881,51101,64853,9784,7165,3574,80071,116224,9455,136895,9014,57110,4189,6014,9183,140459,203068,5889,10618,5649,414918,25977,55323,9801,116540,5599,6642,3306,10598,353,432,43740570,91894,8683,84305,5747,26692,80763,328,79762,9957,11279,54946,26073,1316,84950,2079,55228,6625,23381,54097,285203,29844,7337,285600,3028,122786,4837,3449,6541,7326,5756,79980,161003,6733,22932,112609,8449,729230,5663,3804,10890,3312,5603,134637,2263,100505540,63932,94103,6732,627,900,6206,856924,3048,56097,2705,64951,11133,10813,308,291,9349,114792,6591,60370,83732,9514,26088,2266,222171,6769,6160,79657,162333,56951,51203,339122,2307,51652,51001,112495,1339,3903,5873,55036,79706,6118,6428,10694,92092,4680,28512,11333,9341,1489,135656,1488,285315,79165,23491,54494,5098,10659,1846,3050,29903,54830,10193,847,54103,5165,94274,79048,78994,83873,10736,4747,8807,25953,642,5347,5700,7529,6167,539,57379,509,9446,3248,6445,55625,83856,79810,10049,83608,10856,55850,2647,163778,10464,55163,55907,43740571,7001,597,200185,57410,55968,121599,7517,3006,3766,50619,3476,29761,4163,5582,57708,1030,254827,6812,7415,856399,9158,347862,8605,55132,51444,26156,25875,10018,55810,6135,2540977,1020,11214,4036,5451,65008,57687,6045,2803,7167,6231,375341,135138,1718,6917,59307,80333,150209,91445,10140,10039,4137,1072,2584,55054,54361,3673,5092,64857,170062,284076,24140,254427,402,8851,4709,5771,6242,147841,64798,83879,64850,23474,728194,22818,9976,43740574,79012,200576,23259,6472,84190,51552,10248,10623,80823,3053,4800,5173,29968,10273,353149,29777,7867,10242,64787,128637,254896,55812,80233,10653,11278,1827,2938,84727,1470,57489,5692,5128,55596,7150,92703,5443,351,51272,22826,127540,7538,152195,4174,7374,29843,79864,112950,29765,84077,10055,10048,54107,25962,56829,55757,51314
